wave,url,width,type,element,что_не_так,причина,fix_commit,status
1,/igra-v-kalmara-lend/,768-1512,overlap,hero h1 + CTA,Заголовок перекрывал кнопку и обрезал последнюю строку,Потеряны inline br/color и responsive T396 состояния,pending,fixed
1,/igra-v-kalmara-lend/,all,missing-content,header/footer,Отсутствовала сквозная навигация и часть source-текста,Route-specific artboard обходил общий layout,pending,fixed
2,/kids/,390-1512,height,rec844797098,Marquiz frame имел 30/160px вместо 670/130px,External script не запускался и source-геометрия не была материализована,pending,fixed
2,/den-rozhdeniya-uznik-azkabana/,390,height,rec2094236521,Marquiz frame был 130px вместо 710px,Один generic responsive размер ошибочно применялся к разным Marquiz embeds,pending,fixed
2,/prazdnik-maxi/,1440,height,NOLIM T552 gallery,Галерея растягивалась до 1516px вместо 440px,Inline extension class не переносился,pending,fixed
2,/vypusknoj-kalmar/,1440,height,NOLIM galleries,Галереи занимали 1410/1350px вместо 330/270px,Inline extension class не переносился,pending,fixed
2,/vypusknoj-kalmar/,1440-390,height,shared Header,Header 80px не совпадал с source boundary 58px,Route использует короткий source header spacer,pending,fixed
2,/kvest_v_realnosti_zapad/,1440-390,missing-content,rec1144740346 form,Не отображались согласие и кнопка Жду звонка,Zero form находилась в record type 121 и пересобиралась после load,pending,fixed
2,/kvest_v_realnosti_zapad/,1440-390,extra-content,rec1100733981,Локальный snapshot сохранял скрываемую source-карту,Widget removal проверял только прямые children и не видел nested footer records,pending,fixed
2,multiple,all,external-request,tilda flags/video,Phone mask и video создавали внешние/failed requests,Динамические URL не проходили статическую локализацию,pending,fixed
4,/,390,responsive-layout,T121 card grids,Карточки оставались на десктопных inline-координатах и медиана была ниже 88,Zero Block init был ограничен record type 396,pending,fixed
4,/,390,height,T604 promo slider,Секция была 524px вместо 287px и превышала section delta 15%,Browser-captured initialized state фиксировал ширину 1200px,pending,fixed
4,/,all,broken-link,#otzivy,Ссылка на отзывы не имела локальной цели,Named anchor терял id при безопасной очистке,pending,fixed
5,/ono/,all,broken-control,NOLIM #prev/#next,Стрелки в статическом снимке меняли только hash,Произвольный NOLIM script не исполнялся и локального controller не было,pending,fixed
5,multiple,640-900,false-positive,wide T396 text container,Detector считал видимый H1 обрезанным по ширине table-box,Измерялся element box вместо line boxes текста,pending,fixed
5,/ono/,390-1512,false-positive,T1196 rail and form ornaments,Detector считал offscreen-слайды и обрезанный декор page overflow,Не учитывались собственный horizontal scroller и clipping decorative image,pending,fixed
6,multiple,1440-390,responsive-layout,T107 images,Изображения растягивались до контейнера и меняли высоту records,Глобальный source image max-width переопределял штатную Tilda width,pending,fixed
6,"/hostel-podval-pytok/;/patologiya/;/shizofreniya/",1440-390,theme,body and T674 carrier,Тёмные source-страницы отображались на светлом canvas,Route theme class не участвует при полной замене slot snapshot-рендерером,pending,fixed
6,multiple,390,height,T1196 cards,Высота горизонтальных карточек зависела от невидимых flex-соседей,Capture inline-height и повторное flex stretch не соответствовали текущему viewport,pending,fixed
6,/prazdniki-pod-kluch/,1440-390,height,T827 review masonry,Review wall получал неверное число колонок и нестабильную async-высоту,Masonry geometry сохранялась из capture и dependency загружалась позже первого init,pending,fixed
6,multiple,390,height,grid-upscaled T396,Zero Block масштабировался второй раз и схлопывал authored mobile height,Runtime повторно добавлял scale к уже адаптированному 320-grid artboard,pending,fixed
6,multiple,390-1512,links-and-images,source booking fragments and empty img,Четыре route CTA не имели локальной цели и четыре служебных img не имели размеров,Source fragments ссылались на удалённый widget target; пустые atoms обходили image dimension pass,pending,fixed
6,"/new-year/;/prazdniki-pod-kluch/",641-1200,clipping,T959 T774 T829 long labels,Длинные слова обрезались внутри карточек на промежуточных ширинах,Source card padding и шрифт не помещались в responsive колонку,pending,fixed
6,/prazdniki-pod-kluch/,640-900,false-positive,T395 horizontal tabs,Detector считал правую границу прокручиваемого ряда потерей текста,Vertical hidden overflow ошибочно применял horizontal clipping gate к native scroller,pending,fixed
6,multiple,all,security,legacy Tilda JavaScript,Asset audit обнаруживал неаудированные исполняемые vendor/page bundles,Snapshot зависел от удалённого runtime-контракта вместо локально ограниченного поведения,wave6-safe-runtime,fixed
6,"/ono/;/puteshestvie/;/roblox/",1440-390,missing-content,T396 Zero Block forms,Не находились два текста согласия и кнопка «Жду звонка»,Архив хранит поля как JSON и создаёт form DOM только legacy runtime,wave6-safe-runtime,fixed
6,/ono/,1440-390,height,rec1390873221 T347 video,Frame оставался высотой 540px вместо 427.5px на desktop и 196.875px на mobile,Удалённый T347 initializer рассчитывал box model и aspect ratio,wave6-safe-runtime,fixed
6,/prazdniki-pod-kluch/,1440,height,rec685260517 and rec685281002 T829,Пять карточек переносились на второй ряд и добавляли 380/401px,Удалённый T829 initializer не создавал пятиколоночную absolute grid,wave6-safe-runtime,fixed
6,/roblox/,1440,false-positive,rec1100733931,Живой record случайно исключался как opacity 0 после freeze анимаций,Capture CSS отключал transition до завершения Tilda reveal-state,wave6-safe-runtime,fixed
